state,name,legal_name,address,city,zip,county,license,phone,source
OR,LUCKY LION,LUCKY LION,,,,Lane,050-10157958B19,,OR state data
OR,Broadway Cannabis Market,Broadway Cannabis Market,,,,Multnomah,050-10158286B2C,,OR state data
OR,"The Green Planet, Inc.","The Green Planet, Inc.",,,,Yamhill,050-10158479E34,,OR state data
OR,Pure Green,Pure Green,,,,Clatsop,050-10159373F6B,,OR state data
OR,Nectar,Nectar,,,,Clackamas,050-10159858AEB,,OR state data
OR,Klamath Falls Cannabis LLC,Klamath Falls Cannabis LLC,,,,Klamath,050-10160727FB1,,OR state data
OR,Nectar,Nectar,,,,Multnomah,050-10163048F86,,OR state data
OR,Oregrown Portland,Oregrown Portland,,,,Multnomah,050-10163219ABA,,OR state data
OR,Substance,Substance,,,,Lane,050-10165853E96,,OR state data
OR,Nectar; Nectar Markets,Nectar; Nectar Markets,,,,Multnomah,050-10166519CEB,,OR state data
OR,Lit Company,Lit Company,,,,Marion,050-10167004BB9,,OR state data
OR,Canna Bros. Amity,Canna Bros. Amity,,,,Yamhill,050-10167404EEB,,OR state data
OR,Nectar,Nectar,,,,Multnomah,050-10167486CA7,,OR state data
OR,Nectar,Nectar,,,,Marion,050-10167704EF2,,OR state data
OR,Rose Budz PDX,Rose Budz PDX,,,,Multnomah,050-10168108EB5,,OR state data
OR,Weedbucks,Weedbucks,,,,Jackson,050-10169186E09,,OR state data
OR,Floyd's,Floyd's,,,,Multnomah,050-10169465DE0,,OR state data
OR,The Spot Cannabis Collective,The Spot Cannabis Collective,,,,Jackson,050-10170233BF0,,OR state data
OR,La Mota,La Mota,,,,Jackson,050-10170361E30,,OR state data
OR,High Desert Flower - The Dispensary,High Desert Flower - The Dispensary,,,,Deschutes,050-10170433A1A,,OR state data
OR,Substance,Substance,,,,Jackson,050-10170556BAB,,OR state data
OR,The Rock Dispensary,The Rock Dispensary,,,,Marion,050-10170663A49,,OR state data
OR,Kaleafa,Kaleafa,,,,Washington,050-10171104DF0,,OR state data
OR,Oregrown Cannon Beach,Oregrown Cannon Beach,,,,Clatsop,050-10171226BE6,,OR state data
OR,RE-UP,RE-UP,,,,Jackson,050-10172122CAC,,OR state data
OR,CannaKing Marijuana Dispensaries,CannaKing Marijuana Dispensaries,,,,Douglas,050-10173159C9A,,OR state data
OR,Substance,Substance,,,,Jackson,050-10174595F3A,,OR state data
OR,"Trees Oregon, LLC","Trees Oregon, LLC",,,,Multnomah,050-10174806A48,,OR state data
OR,Local Leaf,Local Leaf,,,,Washington,050-10174822DB9,,OR state data
OR,REDBARN DISPENSARY,REDBARN DISPENSARY,,,,Lane,050-10182183EBE,,OR state data
OR,SugarTop Buddery,SugarTop Buddery,,,,Lane,050-10187356E01,,OR state data
OR,Coastal Craft Cannabis,Coastal Craft Cannabis,,,,Clatsop,050-10187941F4A,,OR state data
OR,Cannabis Liquidation Outlet,Cannabis Liquidation Outlet,,,,Jackson,050-10188845BB4,,OR state data
OR,La Mota,La Mota,,,,Multnomah,050-10190292D44,,OR state data
OR,Mr. Nice Guy Portland,Mr. Nice Guy Portland,,,,Multnomah,050-10217737A2D,,OR state data
OR,Pur Roots (Powell),Pur Roots (Powell),,,,Multnomah,050-10220347D48,,OR state data
OR,Sea of Green,Sea of Green,,,,Lincoln,050-10223602B78,,OR state data
OR,Treehouse North,Treehouse North,,,,Multnomah,050-10225541A5A,,OR state data
OR,The Chronic on Commercial,The Chronic on Commercial,,,,Marion,050-10226326FC2,,OR state data
OR,Tropicannabis,Tropicannabis,,,,Hood River,050-10231163EB4,,OR state data
OR,The Spot Cannabis Collective Ashland,The Spot Cannabis Collective Ashland,,,,Jackson,050-10236368EA2,,OR state data
OR,Sweet Chron,Sweet Chron,,,,Josephine,050-10237169ACB,,OR state data
OR,Pole Enterprises,Pole Enterprises,,,,Columbia,050-10237354FF4,,OR state data
OR,WeedAgain,WeedAgain,,,,Coos,050-10237673BCC,,OR state data
OR,Love Buzz,Love Buzz,,,,Multnomah,050-10238567E69,,OR state data
OR,The Farmacy,The Farmacy,,,,Clatsop,050-10239278FFE,,OR state data
OR,The Canna Shoppe,The Canna Shoppe,,,,Multnomah,050-10239351C35,,OR state data
OR,Smooth Roots Veneta,Smooth Roots Veneta,,,,Lane,050-10240901C8A,,OR state data
OR,Northwest Cannabis Company,Northwest Cannabis Company,,,,Washington,050-10241926F97,,OR state data
OR,Rogue Valley Cannabis,Rogue Valley Cannabis,,,,Jackson,050-10242763B45,,OR state data
OR,Twin Peaks,Twin Peaks,,,,Clackamas,050-10244304E30,,OR state data
OR,Happy Haze,Happy Haze,,,,Lane,050-10246757EF5,,OR state data
OR,Smooth Roots Greeley,Smooth Roots Greeley,,,,Multnomah,050-10248989E6D,,OR state data
OR,Budz Mart,Budz Mart,,,,Jackson,050-10252337C60,,OR state data
OR,Chalice Farms,Chalice Farms,,,,Multnomah,050-10253279DA1,,OR state data
OR,Chalice Farms,Chalice Farms,,,,Marion,050-10253422EAE,,OR state data
OR,Brothers Cannabis Club,Brothers Cannabis Club,,,,Multnomah,050-10255942CAD,,OR state data
OR,Truth Dispensary,Truth Dispensary,,,,Marion,050-10257368B11,,OR state data
OR,FYRE,FYRE,,,,Deschutes,050-10258531C39,,OR state data
OR,Brothers Cannabis,Brothers Cannabis,,,,Multnomah,050-10258782ABE,,OR state data
OR,New Leaf Midtown,New Leaf Midtown,,,,Yamhill,050-100028766B5,,OR state data
OR,The Herbal Connection,The Herbal Connection,,,,Lane,050-100035555F6,,OR state data
OR,Cookies,Cookies,,,,Malheur,050-100037147CC,,OR state data
OR,Hood River Naturals,Hood River Naturals,,,,Hood River,050-100041086CC,,OR state data
OR,Oregon Farmacy,Oregon Farmacy,,,,Jackson,050-100069626B0,,OR state data
OR,La Mota,La Mota,,,,Multnomah,050-100077728CC,,OR state data
OR,Livewell Cannabis,Livewell Cannabis,,,,Marion,050-100088728CB,,OR state data
OR,Archive Portland,Archive Portland,,,,Multnomah,050-100089293F9,,OR state data
OR,Mr. Nice Guy Holgate,Mr. Nice Guy Holgate,,,,Multnomah,050-100099996CC,,OR state data
OR,La Mota,La Mota,,,,Jackson,050-100136209F4,,OR state data
OR,Green Cross Cannabis Emporium,Green Cross Cannabis Emporium,,,,Marion,050-100137839DD,,OR state data
OR,Nectar,Nectar,,,,Multnomah,050-100149904F1,,OR state data
OR,Nectar,Nectar,,,,Multnomah,050-100150093E2,,OR state data
OR,"OG Collective, LLC","OG Collective, LLC",,,,Marion,050-100157201FF,,OR state data
OR,Cannabis Nation Beaverton,Cannabis Nation Beaverton,,,,Washington,050-100164832B5,,OR state data
OR,M Thrive Organics LLC,M Thrive Organics LLC,,,,Wasco,050-100167455A3,,OR state data
OR,THE GREEN FRONT,THE GREEN FRONT,,,,Multnomah,050-100236001BA,,OR state data
OR,Electric Lettuce Cedar Hills,Electric Lettuce Cedar Hills,,,,Washington,050-100241747B3,,OR state data
OR,Oregon Weedery,Oregon Weedery,,,,Multnomah,050-100289392BD,,OR state data
OR,Green Room,Green Room,,,,Benton,050-100297375C8,,OR state data
OR,Beaver Bowls,Beaver Bowls,,,,Benton,050-100331502C1,,OR state data
OR,Deanz Greenz,Deanz Greenz,,,,Multnomah,050-100352226E9,,OR state data
OR,Eden,Eden,,,,Multnomah,050-100374466A6,,OR state data
OR,MOSS CROSSING,MOSS CROSSING,,,,Lane,050-100386665E6,,OR state data
OR,La Mota,La Mota,,,,Linn,050-100392377F1,,OR state data
OR,Bridge City Collective,Bridge City Collective,,,,Multnomah,050-100420301FA,,OR state data
OR,Track Town Collective,Track Town Collective,,,,Lane,050-100427434E1,,OR state data
OR,The Holistic Choice,The Holistic Choice,,,,Marion,050-100431414A0,,OR state data
OR,Mr. Nice Guy Rockaway,Mr. Nice Guy Rockaway,,,,Tillamook,050-100435382A3,,OR state data
OR,Oasis Cannabis,Oasis Cannabis,,,,Yamhill,050-100457922B9,,OR state data
OR,Monmouth Cannabis,Monmouth Cannabis,,,,Polk,050-100479383D7,,OR state data
OR,"Cannabiz Experience, LLC","Cannabiz Experience, LLC",,,,Jackson,050-100485158FE,,OR state data
OR,La Mota,La Mota,,,,Linn,050-100502592C1,,OR state data
OR,Marijuana Paradise,Marijuana Paradise,,,,Multnomah,050-100508675B1,,OR state data
OR,Attis Trading Company,Attis Trading Company,,,,Lincoln,050-100515855E1,,OR state data
OR,Tokyo South,Tokyo South,,,,Deschutes,050-100516333C2,,OR state data
OR,American Cannabis Company,American Cannabis Company,,,,Jackson,050-100516768FC,,OR state data
OR,Grateful Meds,Grateful Meds,,,,Jackson,050-100534417C0,,OR state data
OR,Oregon Cannabis Co.,Oregon Cannabis Co.,,,,Linn,050-100542973D6,,OR state data
OR,Tangent Farmacy,Tangent Farmacy,,,,Linn,050-100562112C2,,OR state data
OR,SpaceBuds,SpaceBuds,,,,Lane,050-100580873A9,,OR state data
OR,Electric Lettuce Oregon City,Electric Lettuce Oregon City,,,,Clackamas,050-100595905E3,,OR state data
OR,NW Advantage,NW Advantage,,,,Benton,050-100664391F4,,OR state data
OR,Stumptown Cannabis,Stumptown Cannabis,,,,Clackamas,050-100671665A3,,OR state data
OR,Thur's Smoke Shop,Thur's Smoke Shop,,,,Umatilla,050-100697186A7,,OR state data
OR,420 Club LLC,420 Club LLC,,,,Douglas,050-100708760AF,,OR state data
OR,La Mota Sandy Blvd LLC,La Mota Sandy Blvd LLC,,,,Multnomah,050-100719502BC,,OR state data
OR,Cloud 9 Cannabis,Cloud 9 Cannabis,,,,Linn,050-100736767B7,,OR state data
OR,King Kannabis,King Kannabis,,,,Coos,050-100807035DC,,OR state data
OR,A Prime Leaf,A Prime Leaf,,,,Marion,050-100834893DE,,OR state data
OR,La Mota Lebanon 3 LLC,La Mota Lebanon 3 LLC,,,,Linn,050-100858709AE,,OR state data
OR,Livewell Dispensary,Livewell Dispensary,,,,Marion,050-100869451F2,,OR state data
OR,Mr. Nice Guy Bond St.,Mr. Nice Guy Bond St.,,,,Clatsop,050-100883848C4,,OR state data
OR,Phresh Start,Phresh Start,,,,Lane,050-100912345DE,,OR state data
OR,Fidus PDX,Fidus PDX,,,,Multnomah,050-100930492A3,,OR state data
OR,Redwood Cannabis Dispensary,Redwood Cannabis Dispensary,,,,Josephine,050-100950903F9,,OR state data
OR,Shaman Cannabis - Columbia,Shaman Cannabis - Columbia,,,,Multnomah,050-100968483EA,,OR state data
OR,Herbal Choices,Herbal Choices,,,,Coos,050-100977881FD,,OR state data
OR,Broadway Cannabis Market,Broadway Cannabis Market,,,,Multnomah,050-101040688B0,,OR state data
OR,Western Oregon Dispensary,Western Oregon Dispensary,,,,Washington,050-101043554F6,,OR state data
OR,Plus Dispensary,Plus Dispensary,,,,Multnomah,050-101048392D3,,OR state data
OR,La Mota Roseburg 2 LLC,La Mota Roseburg 2 LLC,,,,Douglas,050-101068041F4,,OR state data
OR,Electric Lettuce Sunnyside,Electric Lettuce Sunnyside,,,,Clackamas,050-101070561E6,,OR state data
OR,Mongoose Cannabis,Mongoose Cannabis,,,,Multnomah,050-101105215C0,,OR state data
OR,Beatnick's Finest,Beatnick's Finest,,,,Benton,050-101114443A4,,OR state data
OR,Tetra Cannabis,Tetra Cannabis,,,,Multnomah,050-101114664FA,,OR state data
OR,Buds 4 U,Buds 4 U,,,,Coos,050-101122730F7,,OR state data
OR,Sensible Cannabis Company,Sensible Cannabis Company,,,,Jackson,050-101133291FA,,OR state data
OR,PotMates,PotMates,,,,Multnomah,050-101144582D7,,OR state data
OR,Oregon Bud Company,Oregon Bud Company,,,,Multnomah,050-101157106FA,,OR state data
OR,OG Collective,OG Collective,,,,Marion,050-101185442C9,,OR state data
OR,Mr. Nice Guy Retail,Mr. Nice Guy Retail,,,,Marion,050-101185528BE,,OR state data
OR,Today's Herbal Choice Tillamook LLC,Today's Herbal Choice Tillamook LLC,,,,Tillamook,050-101187459CB,,OR state data
OR,Herbal Choices,Herbal Choices,,,,Coos,050-101188454E0,,OR state data
OR,VidaVerde,VidaVerde,,,,Multnomah,050-101197860FD,,OR state data
OR,Love Buzz,Love Buzz,,,,Multnomah,050-101205209E9,,OR state data
OR,Emerald Triangle Dispensary,Emerald Triangle Dispensary,,,,Jackson,050-101248731A2,,OR state data
OR,Kush Gardens Co,Kush Gardens Co,,,,Josephine,050-101304477BC,,OR state data
OR,Cola Cove,Cola Cove,,,,Washington,050-101323878C8,,OR state data
OR,Top Hat Express,Top Hat Express,,,,Clackamas,050-101338246B5,,OR state data
OR,LUCKY LION,LUCKY LION,,,,Multnomah,050-101369028B1,,OR state data
OR,"Nectar Markets, LLC","Nectar Markets, LLC",,,,Malheur,050-101382780CF,,OR state data
OR,Weedology,Weedology,,,,Malheur,050-101385551D0,,OR state data
OR,The Bud House,The Bud House,,,,Malheur,050-101386729BA,,OR state data
OR,M Thrive Organics LLC,M Thrive Organics LLC,,,,Wallowa,050-101388544AE,,OR state data
OR,Hall of Strains,Hall of Strains,,,,Marion,050-101398626C5,,OR state data
OR,Five Zero Trees Astoria,Five Zero Trees Astoria,,,,Clatsop,050-101405144D4,,OR state data
OR,BLOOMINATI CANNABIS CORP,BLOOMINATI CANNABIS CORP,,,,Benton,050-101408643F8,,OR state data
OR,Holy Grail,Holy Grail,,,,Lane,050-101440792DC,,OR state data
OR,Eden,Eden,,,,Multnomah,050-101449618AF,,OR state data
OR,SR Collective,SR Collective,,,,Yamhill,050-101455619DD,,OR state data
OR,Electric Lettuce Sellwood,Electric Lettuce Sellwood,,,,Multnomah,050-101478142AC,,OR state data
OR,Hashstoria,Hashstoria,,,,Clackamas,050-101503748E8,,OR state data
OR,Cookies,Cookies,,,,Multnomah,050-101547863F7,,OR state data
OR,Home Grown Apothecary,Home Grown Apothecary,,,,Multnomah,050-101554369CB,,OR state data
OR,Cannabis Curb,Cannabis Curb,,,,Multnomah,050-101564175EC,,OR state data
OR,La Mota Merlin LLC,La Mota Merlin LLC,,,,Clackamas,050-101590083E5,,OR state data
OR,La Mota,La Mota,,,,Coos,050-101590345D5,,OR state data
OR,Kaleafa,Kaleafa,,,,Washington,050-101605722B3,,OR state data
OR,Smiles,Smiles,,,,Douglas,050-101648406F4,,OR state data
OR,Nectar,Nectar,,,,Jackson,050-101676773B7,,OR state data
OR,Nectar,Nectar,,,,Marion,050-101677217E8,,OR state data
OR,Next Level Wellness,Next Level Wellness,,,,Lane,050-101684733C4,,OR state data
OR,Elevation 2150,Elevation 2150,,,,Malheur,050-101702665A6,,OR state data
OR,"Trees Oregon, LLC","Trees Oregon, LLC",,,,Multnomah,050-101748151E2,,OR state data
OR,Wild West Emporium - Jantzen Beach,Wild West Emporium - Jantzen Beach,,,,Multnomah,050-101753431B1,,OR state data
OR,Nectar; Nectar Markets,Nectar; Nectar Markets,,,,Josephine,050-101796000AF,,OR state data
OR,Nectar; Nectar Markets,Nectar; Nectar Markets,,,,Multnomah,050-101825983BC,,OR state data
OR,Oregon's Finest,Oregon's Finest,,,,Multnomah,050-101843884F6,,OR state data
OR,The Green Remedy,The Green Remedy,,,,Multnomah,050-101869530C3,,OR state data
OR,Nectar,Nectar,,,,Multnomah,050-101880202BE,,OR state data
OR,Crater Cannabis,Crater Cannabis,,,,Jackson,050-101894058F6,,OR state data
OR,Burnt River Farms,Burnt River Farms,,,,Malheur,050-101908436B5,,OR state data
OR,Canna Bros.,Canna Bros.,,,,Linn,050-102229620BA,,OR state data
OR,Carefree Cannabis,Carefree Cannabis,,,,Multnomah,050-102242182F0,,OR state data
OR,Cookies Halsey,Cookies Halsey,,,,Multnomah,050-102287075E7,,OR state data
OR,Slim's Topshelf,Slim's Topshelf,,,,Multnomah,050-102340533D3,,OR state data
OR,LTRMN Direct,LTRMN Direct,,,,Multnomah,050-102343185D0,,OR state data
OR,Rose Bud Incorporated,Rose Bud Incorporated,,,,Multnomah,050-102398996F1,,OR state data
OR,Rogue Valley Cannabis,Rogue Valley Cannabis,,,,Jackson,050-102427410E5,,OR state data
OR,Smooth Roots McMinnville,Smooth Roots McMinnville,,,,Yamhill,050-102431446CC,,OR state data
OR,Modern Forrest,Modern Forrest,,,,Linn,050-102436818C6,,OR state data
OR,Local Market,Local Market,,,,Deschutes,050-102468369DF,,OR state data
OR,Chalice Farms,Chalice Farms,,,,Polk,050-102533673EC,,OR state data
OR,Brothers Cannabis,Brothers Cannabis,,,,Multnomah,050-102587438D9,,OR state data
OR,DiamondTREE,DiamondTREE,,,,Deschutes,050-1000071214D,,OR state data
OR,The Joint On Market,The Joint On Market,,,,Marion,050-1000080680D,,OR state data
OR,Breeze Botanicals Gold Hill,Breeze Botanicals Gold Hill,,,,Jackson,050-1000100101A,,OR state data
OR,Gorge Greenery,Gorge Greenery,,,,Hood River,050-1000163439B,,OR state data
OR,Madrone Cannabis Club,Madrone Cannabis Club,,,,Jackson,050-1000200318F,,OR state data
OR,Nectar,Nectar,,,,Marion,050-1000206828A,,OR state data
OR,Club Sky High,Club Sky High,,,,Multnomah,050-1000235878E,,OR state data
OR,Amazon Organics,Amazon Organics,,,,Lane,050-1000628466D,,OR state data
OR,Oregon Bud Company,Oregon Bud Company,,,,Marion,050-1000651584B,,OR state data
OR,Alternative Remedies,Alternative Remedies,,,,Multnomah,050-1000821199B,,OR state data
OR,Kaleafa,Kaleafa,,,,Multnomah,050-1001106576F,,OR state data
OR,Electric Lettuce Lloyd District,Electric Lettuce Lloyd District,,,,Multnomah,050-1001702682A,,OR state data
OR,La Mota,La Mota,,,,Lane,050-1002683515A,,OR state data
OR,Green Man Collective,Green Man Collective,,,,Tillamook,050-1002874797E,,OR state data
OR,AmeriCanna Rx,AmeriCanna Rx,,,,Multnomah,050-1003040668A,,OR state data
OR,Nectar,Nectar,,,,Lane,050-1003305612E,,OR state data
OR,Top Shelf Medicine,Top Shelf Medicine,,,,Deschutes,050-1003951867F,,OR state data
OR,GREEN APPLE NW,GREEN APPLE NW,,,,Clackamas,050-1004120449B,,OR state data
OR,"TODAY'S HERBAL CHOICE RAINIER, LLC","TODAY'S HERBAL CHOICE RAINIER, LLC",,,,Columbia,050-1004252574B,,OR state data
OR,Paradise Found,Paradise Found,,,,Multnomah,050-1004337113E,,OR state data
OR,Mr. Nice Guy Astoria,Mr. Nice Guy Astoria,,,,Clatsop,050-1004346113D,,OR state data
OR,Oasis Cannabis,Oasis Cannabis,,,,Clatsop,050-1004580125D,,OR state data
OR,Farm Grass Table,Farm Grass Table,,,,Hood River,050-1004661768A,,OR state data
OR,Rare Earth Dispensary LLC,Rare Earth Dispensary LLC,,,,Lane,050-1004664909E,,OR state data
OR,Coastal High Ways,Coastal High Ways,,,,Coos,050-1004819175D,,OR state data
OR,Plane Jane's,Plane Jane's,,,,Multnomah,050-1004832102C,,OR state data
OR,Grasslands Dispensary,Grasslands Dispensary,,,,Lane,050-1005305255D,,OR state data
OR,Herbal Remedies 2,Herbal Remedies 2,,,,Marion,050-1005488731C,,OR state data
OR,Oregon Grown Cannabis Recreational Dispensary,Oregon Grown Cannabis Recreational Dispensary,,,,Jackson,050-1005779006B,,OR state data
OR,Sweet Relief Scappoose,Sweet Relief Scappoose,,,,Columbia,050-1005805038C,,OR state data
OR,Green Knottz,Green Knottz,,,,Deschutes,050-1006553111A,,OR state data
OR,The Arboretum,The Arboretum,,,,Lane,050-1007718656B,,OR state data
OR,Budlandia,Budlandia,,,,Multnomah,050-1008031898B,,OR state data
OR,Paradise Found,Paradise Found,,,,Clackamas,050-1008521615D,,OR state data
OR,"Salem Organics, LLC","Salem Organics, LLC",,,,Marion,050-1008736780D,,OR state data
OR,SUBSTANCE,SUBSTANCE,,,,Deschutes,050-1009165329F,,OR state data
OR,Cafe Verde,Cafe Verde,,,,Josephine,050-1009200822A,,OR state data
OR,The Spot Cannabis Collective,The Spot Cannabis Collective,,,,Jackson,050-1010254919C,,OR state data
OR,Pioneer Cannabis Co.,Pioneer Cannabis Co.,,,,Jefferson,050-1010879025E,,OR state data
OR,Green Health Eugene,Green Health Eugene,,,,Lane,050-1010887904B,,OR state data
OR,Mr. Nice Guy Retail,Mr. Nice Guy Retail,,,,Washington,050-1011183437D,,OR state data
OR,The Green Planet,The Green Planet,,,,Multnomah,050-1011548412A,,OR state data
OR,La Mota,La Mota,,,,Jackson,050-1011560383A,,OR state data
OR,Floyd's,Floyd's,,,,Multnomah,050-1011662585D,,OR state data
OR,Beaver Bowls,Beaver Bowls,,,,Linn,050-1011974206C,,OR state data
OR,Redbarn Dispensary,Redbarn Dispensary,,,,Douglas,050-1012469940D,,OR state data
OR,Red Barn Dispensary,Red Barn Dispensary,,,,Coos,050-1012482959A,,OR state data
OR,Wildcat Oils & Flower,Wildcat Oils & Flower,,,,Multnomah,050-1012564330F,,OR state data
OR,The Green Planet,The Green Planet,,,,Marion,050-1012806512F,,OR state data
OR,Frontier Farms - Hood River,Frontier Farms - Hood River,,,,Hood River,050-1013873660A,,OR state data
OR,Electric Lettuce Montavilla,Electric Lettuce Montavilla,,,,Multnomah,050-1014039487F,,OR state data
OR,Five Zero Trees Portland East,Five Zero Trees Portland East,,,,Multnomah,050-1014058379E,,OR state data
OR,Western Oregon Dispensary,Western Oregon Dispensary,,,,Clackamas,050-1014405321C,,OR state data
OR,Electric Lettuce Tigard,Electric Lettuce Tigard,,,,Washington,050-1014532539B,,OR state data
OR,Zuni Products,Zuni Products,,,,Josephine,050-1015330739B,,OR state data
OR,La Mota,La Mota,,,,Multnomah,050-1015901628C,,OR state data
OR,Substance,Substance,,,,Lane,050-1016174005F,,OR state data
OR,High Supply,High Supply,,,,Malheur,050-1016410334A,,OR state data
OR,Budz Cannabis Superstore,Budz Cannabis Superstore,,,,Josephine,050-1016704544A,,OR state data
OR,OG Collective,OG Collective,,,,Benton,050-1016958498D,,OR state data
OR,Natural Remedies,Natural Remedies,,,,Multnomah,050-1017115637F,,OR state data
OR,TJ's on Broadway,TJ's on Broadway,,,,Marion,050-1017432812F,,OR state data
OR,Nectar,Nectar,,,,Jackson,050-1017934966E,,OR state data
OR,Refinery Canna Connoisseur,Refinery Canna Connoisseur,,,,Multnomah,050-1019275662B,,OR state data
OR,MAKS Oregon LLC,MAKS Oregon LLC,,,,Clackamas,050-1022133081E,,OR state data
OR,Good Karma Commercial,Good Karma Commercial,,,,Marion,050-1022388374D,,OR state data
OR,Pendleton Cannabis,Pendleton Cannabis,,,,Umatilla,050-1022732561B,,OR state data
OR,Private reserve Cannabis 101,Private reserve Cannabis 101,,,,Lane,050-1022840966C,,OR state data
OR,Ripped City Greenz,Ripped City Greenz,,,,Clackamas,050-1023557271F,,OR state data
OR,M.C. Spectrum,M.C. Spectrum,,,,Marion,050-1023563016E,,OR state data
OR,Joint Venture Cannabis,Joint Venture Cannabis,,,,Lane,050-1023643163D,,OR state data
OR,THX,THX,,,,Multnomah,050-1024521338D,,OR state data
OR,Ishen Tree,Ishen Tree,,,,Multnomah,050-1024657936A,,OR state data
OR,Truth Dispensary,Truth Dispensary,,,,Marion,050-1024663670B,,OR state data
OR,Homegrown Oregon,Homegrown Oregon,,,,Marion,050-1025311869F,,OR state data
OR,Chalice Farms,Chalice Farms,,,,Washington,050-1025319611D,,OR state data
OR,Chalice Farms,Chalice Farms,,,,Multnomah,050-1025344846C,,OR state data
OR,Chalice Farms,Chalice Farms,,,,Multnomah,050-1025346633F,,OR state data
OR,Sensible Cannabis Company,Sensible Cannabis Company,,,,Multnomah,050-1025388328A,,OR state data
OR,Lucky Lion,Lucky Lion,,,,Lane,050-1025540764D,,OR state data
OR,DiamondTREE,DiamondTREE,,,,Deschutes,050-10000590807,,OR state data
OR,MARITIME CAFE,MARITIME CAFE,,,,Clackamas,050-10000680436,,OR state data
OR,Breeze Botanicals Ashland,Breeze Botanicals Ashland,,,,Jackson,050-10001271938,,OR state data
OR,Nectar,Nectar,,,,Multnomah,050-10001759551,,OR state data
OR,Growing ReLeaf,Growing ReLeaf,,,,Washington,050-10002248531,,OR state data
OR,Emerald City Medicinal,Emerald City Medicinal,,,,Lane,050-10002659379,,OR state data
OR,The Holistic Coop LLC,The Holistic Coop LLC,,,,Lane,050-10006222890,,OR state data
OR,Budlandia,Budlandia,,,,Multnomah,050-10007839141,,OR state data
OR,satchel,satchel,,,,Multnomah,050-10008176667,,OR state data
OR,Miracle Greens,Miracle Greens,,,,Deschutes,050-10008384059,,OR state data
OR,Hi Cascade,Hi Cascade,,,,Marion,050-10008629837,,OR state data
OR,Alternative Solutions,Alternative Solutions,,,,Multnomah,050-10009640876,,OR state data
OR,Good Karma,Good Karma,,,,Lane,050-10010073418,,OR state data
OR,Kaya Shack,Kaya Shack,,,,Multnomah,050-10010393593,,OR state data
OR,Cannabis Nation Gresham,Cannabis Nation Gresham,,,,Multnomah,050-10020141411,,OR state data
OR,Cannabis Nation - Seaside,Cannabis Nation - Seaside,,,,Clatsop,050-10020483760,,OR state data
OR,Thurman Street Collective,Thurman Street Collective,,,,Multnomah,050-10023615819,,OR state data
OR,Kings of Canna,Kings of Canna,,,,Multnomah,050-10024220915,,OR state data
OR,Medicine Tree LLC,Medicine Tree LLC,,,,Yamhill,050-10024934771,,OR state data
OR,Fireside Dispensary,Fireside Dispensary,,,,Jackson,050-10026282919,,OR state data
OR,FLOWR OF LYFE,FLOWR OF LYFE,,,,Lane,050-10027689736,,OR state data
OR,Green Ridge Apothecary,Green Ridge Apothecary,,,,Yamhill,050-10032418898,,OR state data
OR,Oregon's Best Buds,Oregon's Best Buds,,,,Multnomah,050-10032511404,,OR state data
OR,Hijinx Cannabis Co,Hijinx Cannabis Co,,,,Jackson,050-10032676561,,OR state data
OR,Canna Bros.,Canna Bros.,,,,Yamhill,050-10033590195,,OR state data
OR,"Hwy 99 Cannabis, Co.","Hwy 99 Cannabis, Co.",,,,Lane,050-10034717686,,OR state data
OR,Oregrown Bend,Oregrown Bend,,,,Deschutes,050-10035451904,,OR state data
OR,Urban Farmacy,Urban Farmacy,,,,Multnomah,050-10038053342,,OR state data
OR,Green Room (Campus),Green Room (Campus),,,,Benton,050-10038995791,,OR state data
OR,Uplift Botanicals,Uplift Botanicals,,,,Multnomah,050-10039071885,,OR state data
OR,Bigfoot Bud Company,Bigfoot Bud Company,,,,Clackamas,050-10039882706,,OR state data
OR,THC Recreation Station Salem,THC Recreation Station Salem,,,,Marion,050-10044175634,,OR state data
OR,Jenny's Dispensary,Jenny's Dispensary,,,,Deschutes,050-10044623308,,OR state data
OR,Green Cross Cannabis Emporium,Green Cross Cannabis Emporium,,,,Marion,050-10044942643,,OR state data
OR,5th LMNT,5th LMNT,,,,Deschutes,050-10045287738,,OR state data
OR,Marie Janes Cannabis Connection,Marie Janes Cannabis Connection,,,,Benton,050-10046559560,,OR state data
OR,Sumpter Nugget,Sumpter Nugget,,,,Baker,050-10047883377,,OR state data
OR,HomeGrown Remedies,HomeGrown Remedies,,,,Marion,050-10049061904,,OR state data
OR,Cougar Cannabis LLC,Cougar Cannabis LLC,,,,Douglas,050-10049124667,,OR state data
OR,Oregon's Own,Oregon's Own,,,,Multnomah,050-10049202770,,OR state data
OR,Central Organics,Central Organics,,,,Jefferson,050-10049684964,,OR state data
OR,SkunkRX,SkunkRX,,,,Josephine,050-10050652956,,OR state data
OR,Canna Beach Junction,Canna Beach Junction,,,,Clatsop,050-10051024930,,OR state data
OR,Sativa's Place,Sativa's Place,,,,Benton,050-10051701948,,OR state data
OR,C&C Farms Rec Shop,C&C Farms Rec Shop,,,,Jackson,050-10051948111,,OR state data
OR,BUD BROS LLC,BUD BROS LLC,,,,Curry,050-10054414005,,OR state data
OR,Sweet Leaf Illusions,Sweet Leaf Illusions,,,,Multnomah,050-10059292304,,OR state data
OR,Cloud 9 Wellness,Cloud 9 Wellness,,,,Jackson,050-10061095779,,OR state data
