state,name,legal_name,address,city,zip,county,license,phone,source
OR,Weed Land Inc,Weed Land Inc,,,,Multnomah,050-1015918D2F6,,OR state data
OR,Green Room (South),Green Room (South),,,,Benton,050-1015927ADFE,,OR state data
OR,Broadway Cannabis Market,Broadway Cannabis Market,,,,Washington,050-1016124DFA1,,OR state data
OR,Top Shelf Wellness Center,Top Shelf Wellness Center,,,,Jackson,050-1016131A101,,OR state data
OR,Shango Premium Cannabis,Shango Premium Cannabis,,,,Multnomah,050-1016133E0F5,,OR state data
OR,Peach Cannabis,Peach Cannabis,,,,Lane,050-1016162FFA8,,OR state data
OR,Justice Cannabis Company,Justice Cannabis Company,,,,Marion,050-1016172E2AC,,OR state data
OR,LUCKY LION,LUCKY LION,,,,Multnomah,050-1016201C7BC,,OR state data
OR,Lifted Northwest,Lifted Northwest,,,,Multnomah,050-1016274AD84,,OR state data
OR,High Lakes,High Lakes,,,,Klamath,050-1016350B982,,OR state data
OR,The Red Eye,The Red Eye,,,,Malheur,050-1016408A189,,OR state data
OR,The Herb Center,The Herb Center,,,,Deschutes,050-1016525DC37,,OR state data
OR,Mr. Nice Guy Springfield,Mr. Nice Guy Springfield,,,,Lane,050-1016536C5D3,,OR state data
OR,Arcanna,Arcanna,,,,Multnomah,050-1016538BD86,,OR state data
OR,Dr. Jolly's,Dr. Jolly's,,,,Deschutes,050-1016622D255,,OR state data
OR,River City Retail,River City Retail,,,,Josephine,050-1016693DF27,,OR state data
OR,Nectar,Nectar,,,,Washington,050-1016773ED2A,,OR state data
OR,POPS' LLC,POPS' LLC,,,,Curry,050-1016923EE82,,OR state data
OR,Cookies,Cookies,,,,Lane,050-1017143AEF5,,OR state data
OR,Farmer Ken's,Farmer Ken's,,,,Lincoln,050-1017168D93A,,OR state data
OR,Stokes Cannabis,Stokes Cannabis,,,,Marion,050-1017194C683,,OR state data
OR,Highly Cultivated Brands,Highly Cultivated Brands,,,,Polk,050-1017243C0D9,,OR state data
OR,High Tide NW LLC,High Tide NW LLC,,,,Coos,050-1017254B390,,OR state data
OR,Kush Dispensary,Kush Dispensary,,,,Lane,050-1017271C92C,,OR state data
OR,WeedAgain,WeedAgain,,,,Marion,050-1017327FC6B,,OR state data
OR,Weedbucks,Weedbucks,,,,Josephine,050-1017346D1E7,,OR state data
OR,MOSS CROSSING,MOSS CROSSING,,,,Multnomah,050-1017411BF2D,,OR state data
OR,Frontier Farms - The Dalles,Frontier Farms - The Dalles,,,,Wasco,050-1017449E2EB,,OR state data
OR,Good Life Collective,Good Life Collective,,,,Clatsop,050-1017483E9A8,,OR state data
OR,Trees Oregon LLC,Trees Oregon LLC,,,,Multnomah,050-1017498EBF0,,OR state data
OR,Canna Leaf Eugene Inc.,Canna Leaf Eugene Inc.,,,,Lane,050-1017560D988,,OR state data
OR,CHRONIX CANNABIS DISPENSARY,CHRONIX CANNABIS DISPENSARY,,,,Multnomah,050-1017648E8FD,,OR state data
OR,Parlour Cannabis,Parlour Cannabis,,,,Washington,050-1017674D3AA,,OR state data
OR,ABCCoop1,ABCCoop1,,,,Jackson,050-1017716E529,,OR state data
OR,Astral Markets,Astral Markets,,,,Marion,050-1017795BA15,,OR state data
OR,Xclusives Taste,Xclusives Taste,,,,Multnomah,050-1017832BF9E,,OR state data
OR,Canna Bros.,Canna Bros.,,,,Marion,050-1018084C48A,,OR state data
OR,Brothers Cannabis,Brothers Cannabis,,,,Clatsop,050-1018133AC46,,OR state data
OR,Blue Dream Cannabis & Vintage,Blue Dream Cannabis & Vintage,,,,Multnomah,050-1018267C84D,,OR state data
OR,Pete's Farm Dispensary,Pete's Farm Dispensary,,,,Lincoln,050-1018487D91D,,OR state data
OR,Green Knottz Kfalls,Green Knottz Kfalls,,,,Klamath,050-1018565A772,,OR state data
OR,SnugZ,SnugZ,,,,Lane,050-1018661FB12,,OR state data
OR,World Famous Top Shelf Cannabis,World Famous Top Shelf Cannabis,,,,Clatsop,050-1018699F5C5,,OR state data
OR,Emerald Triangle Dispensary,Emerald Triangle Dispensary,,,,Jackson,050-1018839C34B,,OR state data
OR,Emerald triangle Dispensary,Emerald triangle Dispensary,,,,Jackson,050-1018857A045,,OR state data
OR,Cannabis Liquidation Outlet,Cannabis Liquidation Outlet,,,,Linn,050-1018900DA30,,OR state data
OR,La Mota,La Mota,,,,Linn,050-1019309B453,,OR state data
OR,Lemonnade,Lemonnade,,,,Multnomah,050-1020820F3B0,,OR state data
OR,Hash It Out,Hash It Out,,,,Coos,050-1021663B76F,,OR state data
OR,The Flower Room - Bend Downtown,The Flower Room - Bend Downtown,,,,Deschutes,050-1021698ED82,,OR state data
OR,Lemonnade St. Johns Inc.,Lemonnade St. Johns Inc.,,,,Multnomah,050-1021798FA70,,OR state data
OR,CULTIV8,CULTIV8,,,,Multnomah,050-1021983EA8C,,OR state data
OR,Smokelore,Smokelore,,,,Deschutes,050-1022022C2C4,,OR state data
OR,Trap Boys,Trap Boys,,,,Multnomah,050-1022326C5A9,,OR state data
OR,Kingston Cannabis Company,Kingston Cannabis Company,,,,Jackson,050-1022344EC85,,OR state data
OR,ADNA RETAIL OREGON LLC,ADNA RETAIL OREGON LLC,,,,Marion,050-1022348FA16,,OR state data
OR,Green Ridge Pacific City,Green Ridge Pacific City,,,,Tillamook,050-1022771EB29,,OR state data
OR,Couch Street LLC,Couch Street LLC,,,,Multnomah,050-1022846D477,,OR state data
OR,Willamette Valley Cannabis Company,Willamette Valley Cannabis Company,,,,Multnomah,050-1022872F919,,OR state data
OR,WeedAgain,WeedAgain,,,,Lane,050-1022876E6E4,,OR state data
OR,Diem,Diem,,,,Multnomah,050-1022911A110,,OR state data
OR,ADNA RETAIL OREGON LLC,ADNA RETAIL OREGON LLC,,,,Multnomah,050-1023045DDCD,,OR state data
OR,Pioneer Cannabis Co.,Pioneer Cannabis Co.,,,,Coos,050-1023065BA7E,,OR state data
OR,Emerald Triangle Dispensary,Emerald Triangle Dispensary,,,,Jackson,050-1023191B69C,,OR state data
OR,Herban LLC,Herban LLC,,,,Multnomah,050-1023355C084,,OR state data
OR,Dreams,Dreams,,,,Lane,050-1023571A62B,,OR state data
OR,Lincoln City Collective North,Lincoln City Collective North,,,,Lincoln,050-1023697A509,,OR state data
OR,Green Room (Albany),Green Room (Albany),,,,Linn,050-1023875D6FF,,OR state data
OR,Hive Cannabis Connect,Hive Cannabis Connect,,,,Lane,050-1024051DEE0,,OR state data
OR,Going Green,Going Green,,,,Linn,050-1024297ED85,,OR state data
OR,Mary Jane's Farmacy,Mary Jane's Farmacy,,,,Marion,050-1024356B0E5,,OR state data
OR,Power Plant Salem,Power Plant Salem,,,,Marion,050-1024537A585,,OR state data
OR,Club Pitbull,Club Pitbull,,,,Marion,050-1024749C562,,OR state data
OR,Cannabis On-Time,Cannabis On-Time,,,,Lane,050-1024773D324,,OR state data
OR,Mint Cannabis Co.,Mint Cannabis Co.,,,,Multnomah,050-1024804B13C,,OR state data
OR,HOTBOX,HOTBOX,,,,Multnomah,050-1025042BB62,,OR state data
OR,Phresh Start,Phresh Start,,,,Lane,050-1025285F717,,OR state data
OR,Budz Barn,Budz Barn,,,,Jackson,050-1025293A1E7,,OR state data
OR,Cannabliss,Cannabliss,,,,Multnomah,050-1025313E179,,OR state data
OR,Chalice Farms,Chalice Farms,,,,Lane,050-1025325E94C,,OR state data
OR,Chalice Farms,Chalice Farms,,,,Linn,050-1025334EEAD,,OR state data
OR,Chalice Farms,Chalice Farms,,,,Yamhill,050-1025340C56C,,OR state data
OR,Left Coast Connections,Left Coast Connections,,,,Multnomah,050-1025348BC22,,OR state data
OR,PURPLE SUNSET,PURPLE SUNSET,,,,Clatsop,050-1025430AE4A,,OR state data
OR,Top Crop Cannabis,Top Crop Cannabis,,,,Malheur,050-1025676E5DC,,OR state data
OR,Top Crop Cannabis,Top Crop Cannabis,,,,Lane,050-1025684D895,,OR state data
OR,Smooth Roots Lincoln City,Smooth Roots Lincoln City,,,,Lincoln,050-1025720D7CC,,OR state data
OR,Belmont Collective,Belmont Collective,,,,Multnomah,050-1025752BB23,,OR state data
OR,Pakalolo PDX,Pakalolo PDX,,,,Multnomah,050-1025833AB25,,OR state data
OR,Kaleafa,Kaleafa,,,,Washington,050-10000407C53,,OR state data
OR,Vernonia's Natural Choice,Vernonia's Natural Choice,,,,Columbia,050-10001263A2F,,OR state data
OR,Silver Stem Fine Cannabis,Silver Stem Fine Cannabis,,,,Multnomah,050-10001534ACF,,OR state data
OR,Pipe Dreams Dispensary,Pipe Dreams Dispensary,,,,Lincoln,050-10001832DA7,,OR state data
OR,Oregon's Green Rush,Oregon's Green Rush,,,,Lane,050-10004429B31,,OR state data
OR,Greeley Gallery,Greeley Gallery,,,,Multnomah,050-10004797E23,,OR state data
OR,Oregon Bud Company,Oregon Bud Company,,,,Clackamas,050-10006476DA7,,OR state data
OR,Oregon Bud Company,Oregon Bud Company,,,,Lincoln,050-10006568A0C,,OR state data
OR,La Mota,La Mota,,,,Multnomah,050-10007012B21,,OR state data
OR,La Mota,La Mota,,,,Tillamook,050-10008693DF6,,OR state data
OR,Jamaica Joel's,Jamaica Joel's,,,,Lane,050-10009611DA7,,OR state data
OR,West Salem Cannabis,West Salem Cannabis,,,,Polk,050-10009873CDF,,OR state data
OR,Mr. Nice Guy Veneta,Mr. Nice Guy Veneta,,,,Lane,050-10010004FFE,,OR state data
OR,Mr. Nice Guy Depoe,Mr. Nice Guy Depoe,,,,Lincoln,050-10010041E88,,OR state data
OR,Mr. Nice Guy Waldport,Mr. Nice Guy Waldport,,,,Lincoln,050-10010057BC0,,OR state data
OR,"Cannabis, LLC","Cannabis, LLC",,,,Lane,050-10010193FDD,,OR state data
OR,High Tide Wellness Center,High Tide Wellness Center,,,,Curry,050-10011855BAC,,OR state data
OR,La Mota,La Mota,,,,Douglas,050-10013642BA6,,OR state data
OR,Pacific Wave,Pacific Wave,,,,Lincoln,050-10013998C72,,OR state data
OR,Green Dragon Herbal Clinic,Green Dragon Herbal Clinic,,,,Lincoln,050-10014652EE2,,OR state data
OR,Portland Best Buds,Portland Best Buds,,,,Multnomah,050-10015902FDC,,OR state data
OR,"OG Collective, LLC","OG Collective, LLC",,,,Marion,050-10018957EDE,,OR state data
OR,Electric Lettuce- Woodlawn,Electric Lettuce- Woodlawn,,,,Multnomah,050-10020753B7D,,OR state data
OR,Plantae,Plantae,,,,Deschutes,050-10022589CE7,,OR state data
OR,Sweet Relief Natural Medicine,Sweet Relief Natural Medicine,,,,Clatsop,050-10025514D43,,OR state data
OR,Sweet Relief St. Helens,Sweet Relief St. Helens,,,,Columbia,050-10025563EE3,,OR state data
OR,The Medication Station,The Medication Station,,,,Lincoln,050-10025655A62,,OR state data
OR,"Green Mart, LLC","Green Mart, LLC",,,,Washington,050-10026091C87,,OR state data
OR,Cannabend,Cannabend,,,,Deschutes,050-10027156F6D,,OR state data
OR,Apothca,Apothca,,,,Lane,050-10028857D5D,,OR state data
OR,Canna Bros.,Canna Bros.,,,,Yamhill,050-10032789CAF,,OR state data
OR,The New Amsterdam,The New Amsterdam,,,,Multnomah,050-10034282CCC,,OR state data
OR,SHANGO PREMIUM CANNABIS,SHANGO PREMIUM CANNABIS,,,,Multnomah,050-10034516B89,,OR state data
OR,Plantae,Plantae,,,,Jefferson,050-10037199BA2,,OR state data
OR,DEFYNE PREMIUM CANNABIS,DEFYNE PREMIUM CANNABIS,,,,Washington,050-10038830A67,,OR state data
OR,Zion Cannabis,Zion Cannabis,,,,Multnomah,050-10039294D00,,OR state data
OR,Three Kings Organics,Three Kings Organics,,,,Wasco,050-10039622D6B,,OR state data
OR,Budlandia,Budlandia,,,,Multnomah,050-10039904AAD,,OR state data
OR,Ocean Grown Cannabis Company LLC,Ocean Grown Cannabis Company LLC,,,,Benton,050-10040768BFD,,OR state data
OR,Columbia River Herbals LLC,Columbia River Herbals LLC,,,,Wasco,050-10040800D20,,OR state data
OR,Jayne,Jayne,,,,Multnomah,050-10041073E5E,,OR state data
OR,Canyon Cannabis,Canyon Cannabis,,,,Linn,050-10041223AB3,,OR state data
